0	0	0	0	3.0507358293561495e+01
0	0	0	1	3.7501854610562589e+01
0	0	0	2	1.7201569571936766e+01
0	0	0	3	7.9178553843162085e+00
0	0	0	4	3.6597549239803762e+00
0	0	0	5	1.6999277533171204e+00
0	0	0	6	7.9419496843966875e-01
0	0	0	7	3.7358415049454308e-01
0	0	0	8	1.7714553496758673e-01
0	0	0	9	8.4789910908959681e-02
0	0	0	10	4.1030159112819070e-02
0	0	0	11	2.0107760765246348e-02
0	0	0	12	9.9991794036196086e-03
0	0	0	13	5.0560773806077658e-03
0	0	0	14	2.6054078542351020e-03
0	0	0	15	1.3712788430990208e-03
0	0	0	16	7.3873609026489553e-04
0	0	0	17	4.0807004884807279e-04
0	0	0	18	2.3136340912499156e-04
0	0	0	19	1.3457607660090254e-04
0	0	0	20	8.0050806807755270e-05
0	0	0	21	4.8283298148850103e-05
0	0	0	22	2.8943454306666184e-05
0	0	0	23	1.6402446897424408e-05
0	0	0	24	7.4321544902706538e-06
0	0	60	0	-3.2162541906680653e-01
0	0	60	1	-3.1943875433023541e+00
0	0	60	2	-7.3508298286378215e+00
0	0	60	3	-1.0102707402719194e+01
0	0	60	4	-1.1113284799115519e+01
0	0	60	5	-1.0856634308207958e+01
0	0	60	6	-9.8761194921010365e+00
0	0	60	7	-8.5807550771633991e+00
0	0	60	8	-7.2283301806208344e+00
0	0	60	9	-5.9603694436797774e+00
0	0	60	10	-4.8417582221101059e+00
0	0	60	11	-3.8917262409830409e+00
0	0	60	12	-3.1048233514446864e+00
0	0	60	13	-2.4639162868291340e+00
0	0	60	14	-1.9477687186486221e+00
0	0	60	15	-1.5350404628037810e+00
0	0	60	16	-1.2062541185736508e+00
0	0	60	17	-9.4453758028943957e-01
0	0	60	18	-7.3572796641105476e-01
0	0	60	19	-5.6815876726187864e-01
0	0	60	20	-4.3231396754277662e-01
0	0	60	21	-3.2044692612285119e-01
0	0	60	22	-2.2621157895065019e-01
0	0	60	23	-1.4432508818211076e-01
